#Open,High,Low,Volume,Close
19,25,17.540001,18766300,23.889999
25.790001,30.42,23.299999,17187100,23.83
25,25.92,20.27,8218800,21.959999
23,23.1,18.709999,5139800,19.200001
20,20,15.83,6866900,16.110001
16.4,16.629999,14.98,6921700,15.8
16.139999,17.52,15.57,7711400,17.459999
17.58,17.9,16.549999,4050600,17.4
17.950001,18.07,17,2202500,17.049999
17.389999,18.639999,16.9,2680100,18.139999
17.940001,20.15,17.76,4195200,19.84
19.940001,21.5,19,3739800,19.889999
20.700001,21.299999,20.049999,2621300,20.639999
21.370001,22.25,20.92,2486500,21.91
21.85,21.85,20.049999,1825300,20.299999
20.66,20.9,19.5,1252500,20.219999
20.5,21.25,20.370001,957800,21
21.190001,21.559999,21.059999,653600,21.290001
21.5,21.5,20.299999,922200,20.950001
20.91,21.18,20.26,619700,20.549999
20.549999,20.9,20.51,467200,20.719999
20.77,20.879999,20,616000,20.35
20.200001,20.440001,19.549999,426900,19.940001
20.5,20.969999,20.33,718100,20.92
21,21.950001,20.82,1230500,21.950001
21.950001,22.18,20.85,913000,21.26
21.540001,21.549999,20.049999,796200,20.450001
20.1,20.16,19.52,741900,19.59
19.9,19.98,19.450001,812700,19.6
19.65,19.65,18.82,1281300,19.030001
18.690001,18.879999,17.85,797600,17.9
17.799999,17.9,17.389999,691000,17.6
18.18,18.450001,17.66,634000,18.32
18.450001,18.799999,18.26,485800,18.780001
18.959999,19.4,18.780001,447900,19.15
19.59,19.59,18.6,601300,18.77
18.540001,19.25,18.33,579100,18.790001
18.65,19.110001,18.51,296000,19.1
19.09,20.389999,19,1088100,20.129999
19.25,19.709999,18.950001,673100,19.200001
19.16,19.98,18.559999,503300,19.9
19.889999,20.27,19.6,433800,19.75
19.75,19.870001,19.5,379600,19.700001
19.700001,20.190001,19.610001,732800,19.870001
19.66,19.790001,19.33,201100,19.48
19.620001,20.690001,19.6,494900,20.450001
20.370001,21.24,20.309999,487100,21.059999
20.870001,21.299999,20.66,434600,21.049999
20.610001,21,20.5,243400,20.540001
20.66,20.950001,20.6,288400,20.9
21,21.049999,20.690001,376200,20.709999
20.75,20.93,19.76,386600,20.17
20.889999,20.9,20.5,360800,20.719999
20.540001,21.6,20.530001,654700,21.120001
20.98,22,20.790001,684600,21.98
22.15,23.16,20.84,2684500,20.940001
21.02,21.32,19.799999,1198500,20.23
20.67,21.35,20.16,947500,21.059999
20.889999,21.549999,20.67,796000,20.77
20.870001,20.950001,19.799999,962900,19.870001
19.889999,20.139999,19.5,668100,19.559999
19.950001,20.190001,19.65,578900,20.1
20.4,20.809999,20.049999,418600,20.530001
21.040001,21.49,20.76,1214500,21.4
21.190001,22.030001,21.129999,1969300,21.98
22,22.15,20.190001,2195800,20.41
20.690001,20.75,20.309999,597700,20.6
20.43,21.17,20.299999,643600,20.99
21.15,21.280001,21.01,332000,21.120001
21.059999,21.26,20.32,313400,20.459999
20.57,20.639999,20.34,141000,20.43
20.43,20.790001,20.389999,267800,20.43
20.440001,20.700001,20.07,171200,20.24
20.200001,20.280001,20.030001,244000,20.24
20.639999,20.85,20.360001,318200,20.540001
21,21.030001,20.4,294800,20.75
20.889999,20.9,20.25,284700,20.540001
20.52,20.639999,20.219999,162800,20.23
20.200001,20.41,20,245200,20.049999
20.16,20.690001,20.040001,312500,20.65
20.610001,20.950001,20.450001,417100,20.75
20.68,20.93,20.549999,161100,20.719999
20.940001,20.98,20.73,118500,20.85
20.799999,21.870001,20.51,660900,21.360001
21.25,21.379999,20.65,356500,21
21.389999,21.5,20.959999,224200,21.190001
21.139999,21.85,21.049999,280600,21.84
21.940001,22.75,21.309999,455800,21.41
21.68,21.879999,21.049999,322500,21.25
21.280001,22.5,21.16,372600,21.77
22.6,25.33,22.15,1874000,24.9
24.870001,24.969999,23.719999,1011000,24.440001
24.5,25,24.030001,509500,24.98
25,25.690001,24.049999,956400,24.629999
24.48,29.969999,24.049999,3060500,29.360001
28.6,29.1,27.33,1945300,28.040001
28.25,30.5,28.07,2729100,29.84
30.219999,32.939999,30.219999,2622900,30.799999
31,31.4,28.42,1347600,29.67
30.200001,30.75,28.610001,750000,29.49
30.67,30.74,28.92,956100,29.889999
30.16,31.370001,29.700001,1150500,30.99
31.57,33.450001,31.5,1529700,33.400002
33.290001,35.68,32.189999,1577800,34.57
35.27,35.970001,34.330002,1425000,35.470001
35.599998,36,34.75,350600,35.32
35.41,35.950001,33.330002,1145600,34.330002
33.740002,35.330002,33.41,2222600,35.330002
35.869999,36.419998,33.450001,1299200,34.349998
34.009998,34.299999,31.200001,2007000,32.349998
32.009998,32.25,30.870001,1160100,31.49
31.35,31.450001,29.559999,1274400,30.309999
30.49,32.400002,30.049999,1311300,31.559999
32.48,32.490002,31.52,660000,32.369999
32.509998,32.720001,31.65,406000,32.049999
32.049999,32.919998,31.129999,429400,31.52
31.639999,31.77,30.4,410400,30.549999
30.290001,30.389999,27.76,1765700,28.530001
28.67,29.969999,28.530001,742900,29.6
30,30.91,29.65,790100,30.809999
31.34,31.540001,30.709999,813000,31.360001
31.639999,32.189999,31.26,523400,31.700001
31.799999,32.689999,31.709999,777700,32.259998
32.25,32.860001,31.700001,833300,32.630001
31.26,32.48,29.92,1552600,30.09
28.02,28.58,25.059999,9301900,25.549999
25.85,26.75,25,4056300,26.41
27.030001,28.01,26.5,3319200,27.73
27.700001,27.9,26.379999,2041100,26.5
26.57,27.25,26.5,1417900,26.629999
26.84,27,25.9,1283000,26.620001
26.66,26.950001,26.02,1187400,26.67
26.48,26.9,26.190001,1446700,26.83
26.83,28,26.809999,2061200,27.879999
28,28.58,27.9,2247900,28.24
28.17,28.68,28.049999,1342700,28.450001
28.59,28.709999,26.92,1710200,26.959999
27.01,27.4,26.52,964400,26.959999
26.959999,26.969999,26.16,723600,26.219999
26.15,26.58,25.610001,1192000,25.75
25.48,25.639999,24.75,1621700,25.639999
25.27,25.469999,23.75,2371500,24.030001
24.030001,24.450001,22.370001,2279900,22.620001
23.120001,23.59,22.709999,1217000,23.040001
23.530001,24.809999,23.23,1645100,24.49
24.65,24.889999,24.02,1271500,24.68
24.709999,24.879999,24.1,1079900,24.75
24.74,25.08,24.530001,895700,24.92
24.879999,24.879999,23.75,1048400,24.01
24.049999,24.120001,23.5,830300,24.1
24.309999,24.73,23.540001,707800,23.91
24.16,24.18,23.67,569500,23.940001
23.82,23.9,23.15,512000,23.629999
23.440001,23.67,23.219999,544000,23.459999
23.26,23.26,22.879999,895100,23.07
23.780001,25.25,23,3504900,24.49
24.129999,24.18,22.790001,2635600,23.209999
23.26,23.639999,22.809999,836100,23.219999
23.25,23.75,22.940001,634500,23.25
23.639999,24.139999,23.049999,1283100,23.08
23.01,23.17,22.559999,953700,22.84
23.1,24.969999,23.07,4115100,24.73
24.629999,25.49,23.549999,2618400,23.6
23.33,23.49,22.959999,2370700,23.18
22.879999,23,21.780001,2064600,21.870001
22.18,22.5,21.110001,1605600,21.83
21.780001,22.58,21.5,1055300,22.530001
22.809999,23.85,22.690001,1346300,23.610001
23.74,24.1,23.5,1051200,23.889999
24.049999,24.32,23.700001,1106400,23.940001
23.82,24.280001,23.73,663300,24.02
24.48,24.790001,24.059999,640200,24.360001
24.48,24.99,23.780001,1580100,24.950001
24.93,25.4,24.700001,2033600,24.940001
24.6,24.959999,24,1399900,24.66
24.66,24.99,24.27,924800,24.719999
24.440001,24.49,23.73,1017000,24.01
23.85,24.25,23.530001,930800,24.07
23.82,24,23.200001,1166000,23.25
22.200001,22.959999,21.799999,1318800,22.950001
22.860001,23.25,22.690001,1169700,22.82
23.24,23.43,22.639999,922600,22.809999
23.190001,23.190001,22.51,687900,22.959999
23.049999,23.049999,22.540001,411700,22.73
22.73,22.860001,22,582900,22.190001
22.110001,22.27,21.77,422800,22.209999
22.139999,22.379999,21.98,462200,22.33
22.43,23,22.4,568000,22.75
22.700001,23.540001,22.549999,1058100,23.25
23.299999,24,23.209999,755400,23.92
24.110001,24.49,23.01,1223300,23.709999
26.549999,28.709999,26.5,11517800,27.75
27.450001,28.18,26.57,2864800,26.66
26.83,27,25.23,2609300,25.83
25.9,27,25.690001,3180900,26.700001
26.99,27.01,25.799999,1288300,26.49
26.85,27.940001,26.450001,2810300,27.24
27.58,27.6,26.360001,1946400,26.49
26.469999,26.530001,25.02,1369400,25.27
25.08,25.209999,24.299999,1357400,24.65
25.129999,25.690001,24.809999,1211500,24.93
24.870001,25.280001,24.200001,983400,25.139999
25.65,26.18,25.41,943500,25.58
25.129999,25.620001,24.360001,1033900,25.030001
25.26,25.26,24.65,548700,25.16
25.700001,26.09,25.299999,837200,25.75
25.85,26.98,25.59,1386100,26.74
26.700001,26.73,25.969999,800900,26.389999
26.66,27.25,26.309999,1400000,26.93
26.93,27.360001,26.629999,996900,27.08
27.07,27.690001,26.719999,1600000,27.66
27.690001,27.870001,27.42,726000,27.6
27.6,27.799999,27.059999,784600,27.450001
27.379999,27.389999,26.5,913900,26.870001
26.780001,27,25.75,1044500,26.690001
27.200001,27.440001,26.17,1218500,26.440001
26.9,27.700001,26.620001,981700,27.120001
27,28,26.85,916400,27.91
28.24,28.950001,27.91,1535300,28.33
28.200001,28.299999,26.92,962500,27.07
27.07,27.74,26.65,628000,27.67
28,28.190001,27.299999,661500,27.549999
27.99,27.99,26.549999,755700,26.6
27,27,25.719999,1234200,25.959999
26.1,26.469999,25.52,729500,26.35
27.030001,28.440001,26.6,2655100,28.200001
28.26,28.280001,27.35,842500,27.969999
27.620001,27.620001,26.620001,863600,26.82
27.02,27.5,26.6,613700,26.719999
26.9,29.01,26.17,4693100,28.98
28.82,29.76,28.1,3336900,29.48
29.540001,29.67,28.82,1687100,29.549999
29.690001,30.280001,29.549999,3290500,30.139999
30,30.1,28.379999,1529900,28.52
28.52,29.32,28.51,986300,28.76
29.950001,31.5,29.5,6209200,30.129999
30.1,30.129999,28.26,2331100,28.700001
28.940001,29.389999,28.26,1222100,28.370001
28.440001,28.6,27.02,1695900,27.120001
27.43,28.1,27.1,1603200,27.620001
27.52,28.299999,27.35,1566600,27.860001
28.07,28.879999,27.879999,1713400,28.43
28.540001,29.700001,28.52,1573400,28.6
28.440001,28.450001,27.07,1345000,27.32
27.67,28,25.74,1842200,26.5
26.870001,27.700001,26.139999,1714000,26.5
26.290001,26.459999,25.5,1537800,26.01
26.24,27.73,26,1496000,27.530001
27.370001,28.25,27.1,1475600,27.209999
27.200001,27.719999,26.209999,1170000,27.709999
27.639999,27.969999,27.26,3608500,27.57
27.73,28.280001,27.309999,1809400,27.459999
27.790001,28.25,27.67,889200,28.110001
28.5,29.09,28.07,1461800,28.290001
28.5,29.33,28.4,946700,29.129999
29.07,29.6,28.799999,854900,29.02
29.02,29.52,28.709999,996000,29.139999
29.139999,29.139999,28.549999,926900,28.959999
29.139999,30,29.01,1327900,29.73
29.889999,29.889999,28.59,1240600,28.809999
28.4,28.530001,28,975800,28.35
28.370001,29.09,28,1045400,28.17
28.43,29.030001,27.9,1066000,28.639999
28.530001,28.959999,27.25,1159000,27.610001
27.790001,27.83,27.4,709000,27.58
27.34,27.450001,26.629999,851900,27.23
27.58,28.110001,27.540001,1026100,27.889999
28,30.440001,27.799999,3048300,28.690001
28.91,29.16,28.1,1011500,28.700001
28.700001,29.540001,28.549999,583500,29.290001
29.01,29.25,28.440001,673300,28.49
28.309999,28.77,27.969999,760600,28
28.5,28.5,27.51,958500,27.639999
27.6,28.549999,27.540001,938700,28.17
27.799999,28.4,27.5,948200,28.17
28.67,28.98,28.209999,1164900,28.77
28.690001,29.200001,27.27,1549400,27.34
27.5,27.83,26.34,1794500,27.200001
26.51,26.889999,24.67,3064500,24.75
24.99,25.379999,22.83,1964400,24.24
23.1,24.440001,23.1,2608500,23.639999
24.15,25.450001,23.700001,1333400,25.059999
25.440001,25.440001,23.629999,1564200,23.82
24.040001,25.75,24,836500,25.299999
25.6,27.139999,25.360001,1009100,26.309999
26.620001,26.75,25.93,738600,26.23
26.129999,26.540001,25.83,537700,26.1
26.389999,26.65,25.51,643700,25.83
25,25.15,23.469999,1056600,24.26
23.860001,24.219999,22,1375300,22.299999
23.110001,23.799999,21.68,986100,21.950001
21.93,23.110001,21.5,869000,22.959999
23.1,23.93,22.83,684300,23.870001
23.870001,23.870001,22.9,679800,23.110001
22.709999,23.950001,22.07,761800,23.73
24.219999,24.85,24.02,803400,24.709999
24.5,24.77,24.09,366200,24.629999
24.799999,25.5,24.280001,823800,24.74
24.66,24.870001,23.84,848100,24
23.66,23.99,22.68,769900,23.07
22.5,23.200001,22.290001,809800,22.940001
23.389999,24,23.280001,459200,23.84
23.58,24.030001,23.280001,505700,23.610001
23.370001,23.57,22.549999,669300,22.969999
22.5,23.309999,22.450001,566600,22.879999
23.01,24.1,22.75,726500,24.08
24.25,24.84,23.790001,830800,24.34
24.58,24.93,24.33,562600,24.82
24.780001,25.84,24.49,1417100,25.799999
24.950001,25.809999,23.82,1157400,25.77
25.98,26.6,25.67,1180400,26.01
25.950001,26.950001,25.700001,987600,25.85
25.639999,26.110001,24.879999,775800,25.629999
25.49,26.620001,25.35,1156400,26.379999
26.52,26.52,24.9,934800,25.52
26,26.99,25.57,674500,26.190001
26,26.5,24.51,723300,24.59
25.719999,25.82,23.549999,929600,24.120001
24.799999,24.889999,23.49,1336100,24.389999
24.950001,25,23.25,1023200,23.73
23.290001,24.32,22.93,1200300,23.66
24.030001,25.84,23.35,1229500,25.370001
25.370001,27.6,25.02,1769100,26.959999
26.98,27.6,26.049999,1311600,26.99
27.309999,28.18,27,923500,27.879999
27.51,27.77,27.09,575700,27.610001
27.25,28,27.200001,1123400,27.799999
27.629999,28.469999,27.440001,1043500,27.940001
28,28.549999,27.26,1400500,28.049999
27.860001,28,27.26,754500,27.42
27.299999,28.43,26.709999,999700,28.34
28.02,28.059999,27.299999,792900,27.57
27.440001,27.469999,27,999700,27.34
27.4,28.299999,27.01,1142600,28.030001
27.870001,28.889999,27.75,940600,28.549999
28.23,28.860001,27.799999,654400,28.25
28.190001,28.370001,27.4,510500,27.98
28.34,28.950001,28.110001,869400,28.76
